City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.9167,4.06,87,20,6.69,CL,1680918064
1,lebu,-37.6167,-73.65,11.7,89,100,6.49,CL,1680918065
2,chokurdakh,70.6333,147.9167,-17.49,91,26,1.81,RU,1680918066
3,avera,33.194,-82.5271,11.32,87,100,7.24,US,1680918066
4,fortuna,40.5982,-124.1573,11.48,81,100,0.89,US,1680918066
5,hornepayne,49.2138,-84.7705,-6.0,95,99,2.98,CA,1680918067
6,torbay,47.6666,-52.7314,1.99,86,20,10.29,CA,1680918068
7,coihaique,-45.5752,-72.0662,6.34,87,0,1.03,CL,1680918069
8,lata,40.1629,-8.3327,11.07,65,74,0.75,PT,1680918069
9,east london,-33.0153,27.9116,20.02,74,81,4.65,ZA,1680918070
10,port macquarie,-31.4333,152.9167,25.5,40,0,6.14,AU,1680918071
11,lasa,46.6166,10.7002,6.49,94,90,2.32,IT,1680918071
12,ushuaia,-54.8,-68.3,4.81,75,20,7.2,AR,1680918048
13,thompson,55.7435,-97.8558,4.09,33,20,3.6,CA,1680917520
14,athabasca,54.7169,-113.2854,6.23,92,93,4.85,CA,1680918073
15,kapaa,22.0752,-159.319,26.99,83,100,7.2,US,1680918074
16,dingle,10.9995,122.6711,29.9,62,40,4.99,PH,1680918074
17,rikitea,-23.1203,-134.9692,25.0,68,49,6.17,PF,1680918075
18,sao filipe,14.8961,-24.4956,21.95,78,100,2.14,CV,1680918076
19,bredasdorp,-34.5322,20.0403,14.43,74,100,0.86,ZA,1680918076
20,hithadhoo,-0.6,73.0833,28.01,63,72,2.17,MV,1680918077
21,bosaso,11.2842,49.1816,27.01,61,100,3.71,SO,1680918078
22,sungaipenuh,-2.0833,101.3833,23.31,69,63,1.1,ID,1680918079
23,port alfred,-33.5906,26.891,17.59,86,20,3.22,ZA,1680918079
24,quatre cocos,-20.2078,57.7625,23.94,80,61,3.19,MU,1680918080
25,ignatovka,53.9479,47.6536,1.47,75,8,3.2,RU,1680918081
26,daru,-9.0763,143.2092,25.05,91,100,2.44,PG,1680918081
27,mataura,-46.1927,168.8643,15.27,50,0,1.72,NZ,1680918082
28,busselton,-33.65,115.3333,19.41,45,0,5.61,AU,1680918083
29,suluq,31.6682,20.2521,15.42,51,100,6.42,LY,1680918083
30,bluff,-46.6,168.3333,15.45,58,0,2.17,NZ,1680918085
31,dikson,73.5069,80.5464,-32.08,92,5,3.48,RU,1680917512
32,changli,39.7042,119.1506,15.1,18,0,3.94,CN,1680918086
33,mar del plata,-38.0023,-57.5575,18.94,79,0,5.36,AR,1680918087
34,cumpas,29.9833,-109.7833,20.24,16,1,4.13,MX,1680918087
35,takapau,-40.0333,176.35,14.29,75,100,3.05,NZ,1680918088
36,mananjary,-21.2167,48.3333,22.83,88,100,1.35,MG,1680918089
37,cape town,-33.9258,18.4232,15.61,80,75,4.12,ZA,1680918090
38,waipawa,-41.4122,175.5153,12.39,64,100,4.69,NZ,1680918091
39,albany,42.6001,-73.9662,3.36,50,100,2.24,US,1680918009
40,vaini,-21.2,-175.2,30.09,79,40,6.17,TO,1680918093
41,egvekinot,66.3167,-179.1667,-20.05,85,81,0.79,RU,1680918094
42,isangel,-19.55,169.2667,28.27,69,22,1.67,VU,1680918094
43,kelowna,49.8831,-119.4857,10.49,86,100,1.03,CA,1680917803
44,hobart,-42.8794,147.3294,16.92,55,40,6.69,AU,1680918096
45,kaitangata,-46.2817,169.8464,16.07,68,0,4.76,NZ,1680918096
46,carnarvon,-24.8667,113.6333,22.8,55,8,5.08,AU,1680917898
47,hasaki,35.7333,140.8333,19.22,58,44,2.04,JP,1680918098
48,esperance,-33.8667,121.9,15.65,76,100,5.04,AU,1680918098
49,manono,-7.3,27.4167,20.35,95,92,1.15,CD,1680918099
50,guerrero negro,27.9769,-114.0611,15.03,70,0,7.24,MX,1680918099
51,puerto ayora,-0.7393,-90.3518,26.97,88,100,1.41,EC,1680918099
52,tasiilaq,65.6145,-37.6368,0.09,92,97,11.78,GL,1680918100
53,yellowknife,62.456,-114.3525,5.29,56,75,7.72,CA,1680917825
54,hermanus,-34.4187,19.2345,13.22,80,100,3.29,ZA,1680917816
55,castro,-24.7911,-50.0119,15.5,98,100,2.8,BR,1680918101
56,arman,59.7,150.1667,-5.54,72,23,0.63,RU,1680918102
57,nikolskoye,59.7035,30.7861,-1.06,98,29,1.03,RU,1680918102
58,xuanhua,40.6103,115.0447,9.04,25,0,2.01,CN,1680918102
59,honningsvag,70.9821,25.9704,1.86,93,100,6.17,NO,1680918104
60,grindavik,63.8424,-22.4338,8.97,81,75,12.35,IS,1680918104
61,tuktoyaktuk,69.4541,-133.0374,-16.0,85,75,8.75,CA,1680918105
62,los llanos de aridane,28.6585,-17.9182,15.86,77,40,2.24,ES,1680917863
63,port blair,11.6667,92.75,27.02,83,20,1.03,IN,1680918106
64,airai,-8.9266,125.4092,19.83,69,100,1.72,TL,1680918106
65,lompoc,34.6391,-120.4579,16.55,76,20,6.71,US,1680918107
66,les cayes,18.2,-73.75,23.07,77,7,0.88,HT,1680918107
67,faanui,-16.4833,-151.75,28.66,76,89,9.61,PF,1680918108
68,balint,45.8125,21.8536,4.86,97,100,1.1,RO,1680918108
69,nuevitas,21.5453,-77.2644,23.98,74,9,4.49,CU,1680918109
70,avarua,-21.2078,-159.775,29.03,79,20,6.17,CK,1680918109
